DISTRITO,CASILLA,MUNICIPIO,DOMICILIO
1,2385B1,SAN FELIPE,"CALLE FRAY BARTOLOMÉ DE LAS CASAS, NÚMERO 103, COLONIA EL FRAILE, SAN FELIPE, 37600"
1,2385C1,SAN FELIPE,"CALLE FRAY BARTOLOMÉ DE LAS CASAS, NÚMERO 103, COLONIA EL FRAILE, SAN FELIPE, 37600"
1,2385C2,SAN FELIPE,"CALLE FRAY BARTOLOMÉ DE LAS CASAS, NÚMERO 103, COLONIA EL FRAILE, SAN FELIPE, 37600"
1,2385C3,SAN FELIPE,"CALLE FRAY BARTOLOMÉ DE LAS CASAS, NÚMERO 103, COLONIA EL FRAILE, SAN FELIPE, 37600"
1,2386B1,SAN FELIPE,"CALLE INDIO TRISTE, SIN NÚMERO, ZONA CENTRO, SAN FELIPE, 37600"
1,2386C1,SAN FELIPE,"CALLE INDIO TRISTE, SIN NÚMERO, ZONA CENTRO, SAN FELIPE, 37600"
1,2387B1,SAN FELIPE,"CALLE J AQUILES SERDÁN, NÚMERO 112, ZONA CENTRO, SAN FELIPE, 37600"
1,2387C1,SAN FELIPE,"CALLE J AQUILES SERDÁN, NÚMERO 112, ZONA CENTRO, SAN FELIPE, 37600"
1,2388B1,SAN FELIPE,"CALLE CAMINO REAL ZACATECANO, SIN NÚMERO, FRACCIONAMIENTO LA JOYA, SAN FELIPE, 37600"
1,2388C1,SAN FELIPE,"CALLE CAMINO REAL ZACATECANO, SIN NÚMERO, FRACCIONAMIENTO LA JOYA, SAN FELIPE, 37600"
1,2388C2,SAN FELIPE,"CALLE CAMINO REAL ZACATECANO, SIN NÚMERO, FRACCIONAMIENTO LA JOYA, SAN FELIPE, 37600"
1,2389B1,SAN FELIPE,"CALLE SANTA FE, SIN NÚMERO, COLONIA LOS ZAPOTES, SAN FELIPE, 37600"
1,2389C1,SAN FELIPE,"CALLE SANTA FE, SIN NÚMERO, COLONIA LOS ZAPOTES, SAN FELIPE, 37600"
1,2390B1,SAN FELIPE,"CALLE MANUEL DOBLADO, SIN NÚMERO, LOCALIDAD LAGUNA  DE GUADALUPE, SAN FELIPE, 37610"
1,2390C1,SAN FELIPE,"CALLE MANUEL DOBLADO, SIN NÚMERO, LOCALIDAD LAGUNA  DE GUADALUPE, SAN FELIPE, 37610"
1,2390C2,SAN FELIPE,"CALLE MANUEL DOBLADO, SIN NÚMERO, LOCALIDAD LAGUNA  DE GUADALUPE, SAN FELIPE, 37610"
1,2391B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD PROVIDENCIA DE GUADALUPE, SAN FELIPE, 37600"
1,2392B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD ZAPOTE DE LA VENTILLA, SAN FELIPE, 37600"
1,2392C1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD ZAPOTE DE LA VENTILLA, SAN FELIPE, 37600"
1,2393B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LEQUEITIO 1, SAN FELIPE, 37611"
1,2393C1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD LEQUEITIO 1, SAN FELIPE, 37611"
1,2394B1,SAN FELIPE,"CALLE GUANAJUATO, SIN NÚMERO, LOCALIDAD  POBLADO DE GUADALUPE, SAN FELIPE, 37600"
1,2394C1,SAN FELIPE,"CALLE GUANAJUATO, SIN NÚMERO, LOCALIDAD  POBLADO DE GUADALUPE, SAN FELIPE, 37600"
1,2395B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EX ESTACIÓN JARAL DE BERRIOS, SAN FELIPE, 37600"
1,2396B1,SAN FELIPE,"CALLE DE LA PARDA, SIN NÚMERO, LOCALIDAD MIGUEL HIDALGO, SAN FELIPE, 37600"
1,2396C1,SAN FELIPE,"CALLE DE LA PARDA, SIN NÚMERO, LOCALIDAD MIGUEL HIDALGO, SAN FELIPE, 37600"
1,2397B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD PUERTO DE LA CARRETA, SAN FELIPE, 37600"
1,2398B1,SAN FELIPE,"CALLE DE LA CONSTITUCIÓN, SIN NÚMERO, LOCALIDAD SAN PEDRO DE ALMOLOYÁN, SAN FELIPE, 37610"
1,2398C1,SAN FELIPE,"CALLE DE LA CONSTITUCIÓN, SIN NÚMERO, LOCALIDAD SAN PEDRO DE ALMOLOYÁN, SAN FELIPE, 37610"
1,2398C2,SAN FELIPE,"CALLE DE LA CONSTITUCIÓN, SIN NÚMERO, LOCALIDAD SAN PEDRO DE ALMOLOYÁN, SAN FELIPE, 37610"
1,2399B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD JARAL DE BERRIOS, SAN FELIPE, 37611"
1,2399C1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD JARAL DE BERRIOS, SAN FELIPE, 37611"
1,2399C2,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD JARAL DE BERRIOS, SAN FELIPE, 37611"
1,2400B1,SAN FELIPE,"CALLE MIGUEL HIDALGO, NÚMERO 9, LOCALIDAD FÁBRICA DE MELCHOR, SAN FELIPE, 37611"
1,2400C1,SAN FELIPE,"CALLE MIGUEL HIDALGO, NÚMERO 9, LOCALIDAD FÁBRICA DE MELCHOR, SAN FELIPE, 37611"
1,2401B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EL TEJOCOTE, SAN FELIPE, 37600"
1,2401C1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EL TEJOCOTE, SAN FELIPE, 37600"
1,2402B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD ESTANCIA DE SAN FRANCISCO, SAN FELIPE, 37600"
1,2403B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SAN ANTONIO DEL MAGUEY, SAN FELIPE, 37600"
1,2404B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EMILIANO ZAPATA, SAN FELIPE, 37600"
1,2405B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EL CARRETÓN, SAN FELIPE, 37611"
1,2405C1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EL CARRETÓN, SAN FELIPE, 37611"
1,2406B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SAUCEDA DE LA LUZ, SAN FELIPE, 37600"
1,2406C1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SAUCEDA DE LA LUZ, SAN FELIPE, 37600"
1,2407B1,SAN FELIPE,"CALLE 20 DE NOVIEMBRE, SIN NÚMERO, LOCALIDAD SAN BARTOLO DE BERRIOS, SAN FELIPE, 37610"
1,2407C1,SAN FELIPE,"CALLE 20 DE NOVIEMBRE, SIN NÚMERO, LOCALIDAD SAN BARTOLO DE BERRIOS, SAN FELIPE, 37610"
1,2408B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SAN FRANCISCO 2, SAN FELIPE, 37600"
1,2408C1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SAN FRANCISCO 2, SAN FELIPE, 37600"
1,2409B1,SAN FELIPE,"CALLE SAN MIGUEL, SIN NÚMERO, LOCALIDAD SAN BARTOLO DE BERRIOS,  SAN FELIPE, 37610"
1,2409C1,SAN FELIPE,"CALLE SAN MIGUEL, SIN NÚMERO, LOCALIDAD SAN BARTOLO DE BERRIOS,  SAN FELIPE, 37610"
1,2409C2,SAN FELIPE,"CALLE SAN MIGUEL, SIN NÚMERO, LOCALIDAD SAN BARTOLO DE BERRIOS,  SAN FELIPE, 37610"
1,2410B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD EX ESTACIÓN CHIRIMOYA, SAN FELIPE, 37610"
1,2411B1,SAN FELIPE,"CALLE 10 DE MAYO, SIN NÚMERO, LOCALIDAD SAN JOSÉ DE RANCHO NUEVO, SAN FELIPE, 37600"
1,2412B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD MASTRANTO DEL REFUGIO, SAN FELIPE, 37600"
1,2412C1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD MASTRANTO DEL REFUGIO, SAN FELIPE, 37600"
1,2413B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD MOLINO DE SAN JOSÉ, SAN FELIPE, 37600"
1,2413C1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD MOLINO DE SAN JOSÉ, SAN FELIPE, 37600"
1,2413C2,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD MOLINO DE SAN JOSÉ, SAN FELIPE, 37600"
1,2414B1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SANTA ROSA CHIRIMOYA, SAN FELIPE, 37600"
1,2414C1,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SANTA ROSA CHIRIMOYA, SAN FELIPE, 37600"
1,2414C2,SAN FELIPE,"DOMICILIO CONOCIDO, SIN NÚMERO, LOCALIDAD SANTA ROSA CHIRIMOYA, SAN FELIPE, 37600"
